Year,Month,Day,Weekday,High,Low,Close,High_ch_pc_sdbf,Low_ch_pc_sdbf,Close_ch_pc_sdbf,High_ch_tot_sdbf,Low_ch_tot_sdbf,Close_ch_tot_sdbf,Streak,Bestmove
2021,10,20,2,2326.74,2304.34,2326.25,-0.001246379,-0.004257184,-0.000176249,-2.9,-9.81,-0.41,-1,0.00
2021,10,19,1,2329.64,2314.15,2326.66,0.001373603,0.004753365,0.006429818,3.2,11,14.96,1,0.00
2021,10,18,0,2326.44,2303.15,2311.7,0.003288286,0.001910427,-0.001418869,7.65,4.4,-3.28,-1,1.00
2021,10,15,4,2318.79,2298.75,2314.98,0.008922757,0.007282219,0.007866159,20.69,16.74,18.21,4,0.00
2021,10,14,3,2298.1,2282.01,2296.77,0.007449632,0.020306659,0.00862951,17.12,46.34,19.82,3,1.00
2021,10,13,2,2280.98,2235.67,2276.95,0.012529702,0.013888454,0.011392433,28.58,31.05,25.94,2,1.00
2021,10,12,1,2252.4,2204.62,2251.01,0.007840526,-0.004871588,0.007769846,17.66,-10.74,17.49,1,1.00
2021,10,11,0,2234.74,2215.36,2233.52,-0.010985618,-0.008738986,-0.002999749,-24.55,-19.36,-6.7,-2,1.00
2021,10,8,4,2259.29,2234.72,2240.22,-0.000526714,-0.001364824,-0.00782066,-1.19,-3.05,-17.52,-1,0.00
2021,10,7,3,2260.48,2237.77,2257.74,0.009135228,0.015278603,0.016246335,20.65,34.19,36.68,1,0.00
2021,10,6,2,2239.83,2203.58,2221.06,-0.006701401,-0.009112444,-0.015208954,-15.01,-20.08,-33.78,-1,1.00
2021,10,5,1,2254.84,2223.66,2254.84,0.000204006,-0.002185586,0.009552784,0.46,-4.86,21.54,1,0.00
2021,10,4,0,2254.38,2228.52,2233.3,-0.000980314,0.004630876,-0.009349393,-2.21,10.32,-20.88,-2,1.00
2021,10,1,4,2256.59,2218.2,2254.18,-0.009571965,-0.014092507,-0.002218101,-21.6,-31.26,-5,-1,0.00
2021,9,30,3,2278.19,2249.46,2259.18,0.001264161,-0.000324522,0.001606778,2.88,-0.73,3.63,2,0.00
2021,9,29,2,2275.31,2250.19,2255.55,-0.010780949,-0.001542092,0.000678327,-24.53,-3.47,1.53,1,1.00
2021,9,28,1,2299.84,2253.66,2254.02,-0.014701023,-0.020819467,-0.022178153,-33.81,-46.92,-49.99,-3,1.00
2021,9,27,0,2333.65,2300.58,2304.01,0.000544212,-0.003707761,-0.00401908,1.27,-8.53,-9.26,-2,0.00
2021,9,24,4,2332.38,2309.11,2313.27,-0.003309924,-0.00341257,-0.010690494,-7.72,-7.88,-24.73,-1,0.00
2021,9,23,3,2340.1,2316.99,2338,0.015930943,0.014022503,0.016616766,37.28,32.49,38.85,3,0.00
2021,9,22,2,2302.82,2284.5,2299.15,0.003634674,0.004841322,0.010556075,8.37,11.06,24.27,2,1.00
2021,9,21,1,2294.45,2273.44,2274.88,-0.002336072,0.007090576,0.001063792,-5.36,16.12,2.42,1,1.00
2021,9,20,0,2299.81,2257.32,2272.46,-0.02661959,-0.028418656,-0.022482244,-61.22,-64.15,-51.09,-2,1.00
2021,9,17,4,2361.03,2321.47,2323.55,0.002769978,-0.003084253,-0.008814099,6.54,-7.16,-20.48,-1,0.00
2021,9,16,3,2354.49,2328.63,2344.03,0.004939499,0.004294371,0.008225151,11.63,10,19.28,1,0.00
2021,9,15,2,2342.86,2318.63,2324.75,5.98E-05,-0.003467565,-0.007321217,0.14,-8.04,-17.02,-1,1.00
2021,9,14,1,2342.72,2326.67,2341.77,-0.006620509,-0.003679078,0.002745786,-15.51,-8.56,6.43,1,0.00
2021,9,13,0,2358.23,2335.23,2335.34,-0.002573964,-0.005258583,-0.006136151,-6.07,-12.28,-14.33,-2,1.00
2021,9,10,4,2364.3,2347.51,2349.67,-0.001442287,0.008494107,-0.001583201,-3.41,19.94,-3.72,-1,0.00
2021,9,9,3,2367.71,2327.57,2353.39,0.002039946,-0.005924634,0.002647245,4.83,-13.79,6.23,1,0.00
2021,9,8,2,2362.88,2341.36,2347.16,-0.013250779,-0.012146786,-0.01311372,-31.31,-28.44,-30.78,-2,1.00
2021,9,7,1,2394.19,2369.8,2377.94,-0.001654004,-0.003278758,-0.006863083,-3.96,-7.77,-16.32,-1,0.00
2021,9,6,0,2398.15,2377.57,2394.26,0.002159998,0.003297484,0.010245337,5.18,7.84,24.53,1,0.00
2021,9,3,4,2392.97,2369.73,2369.73,0.001161736,2.95E-05,-0.007878535,2.78,0.07,-18.67,-1,1.00
2021,9,2,3,2390.19,2369.66,2388.4,0.006233814,0.005346759,0.00826076,14.9,12.67,19.73,2,0.00
