Year,Month,Day,High,Low,Close,Dayssince,Purchase,Bestmove
2021,8,31,2379.83,2347.61,2351.25,0,0,Kop
2021,8,30,2380.79,2366.61,2372.81,2,1,Behall
2021,8,27,2376.03,2364.35,2373.14,1,1,Salj
2021,8,26,2374.67,2361.9,2371.7,0,0,Kop
2021,8,25,2376.61,2362.33,2376.16,1,1,Salj
2021,8,24,2381.18,2358.58,2367.05,0,0,Kop
2021,8,23,2379.57,2356.28,2371.55,2,1,Salj
2021,8,20,2364.81,2319.53,2360.5,1,1,Behall
2021,8,19,2350.45,2314.08,2330.3,0,0,Kop
2021,8,18,2393.64,2367.98,2371.37,2,1,Behall
2021,8,17,2386.31,2363.11,2383.45,1,1,Salj
2021,8,16,2397.08,2368.66,2373.55,0,0,Kop
2021,8,13,2412.62,2403.8,2407.04,5,1,Salj
2021,8,12,2406.31,2395.47,2405.53,4,1,Behall
2021,8,11,2404.36,2388.3,2401.49,3,1,Behall
2021,8,10,2395.28,2385.76,2393.74,2,1,Behall
2021,8,9,2385.7,2367.51,2384.76,1,1,Behall
2021,8,6,2396.41,2379.68,2380.46,0,0,Kop
2021,8,5,2403.67,2390.39,2393.68,2,1,Salj
2021,8,4,2397.29,2382.3,2393.1,1,1,Behall
2021,8,3,2383.75,2370.65,2380.14,0,0,Kop
2021,8,2,2392.69,2374.71,2381.66,1,1,Salj
2021,7,30,2373.99,2353.14,2369.89,0,0,Kop
2021,7,29,2392.46,2379.77,2384.19,2,1,Salj
2021,7,28,2384.77,2373.62,2381.89,1,1,Behall
2021,7,27,2385.72,2366.99,2375.97,0,0,Kop
2021,7,26,2392.76,2375.11,2387.66,5,1,Salj
2021,7,23,2384.8,2357.84,2384.69,4,1,Behall
2021,7,22,2357.14,2341.02,2352.35,3,1,Behall
2021,7,21,2338.73,2316.78,2334.37,2,1,Behall
2021,7,20,2310.2,2281.93,2303.54,1,1,Behall
2021,7,19,2330.48,2280.54,2287.46,0,0,Kop
2021,7,16,2355.06,2332.12,2338.8,6,1,Behall
2021,7,15,2364.99,2337.81,2344.49,5,1,Behall
2021,7,14,2358.68,2338.42,2356.34,4,1,Salj
2021,7,13,2353.3,2333.69,2349.19,3,1,Behall
2021,7,12,2338.1,2313.21,2337.73,2,1,Behall
2021,7,9,2321.35,2299.02,2319.53,1,1,Behall
2021,7,8,2321.23,2279.12,2289.94,0,0,Kop
2021,7,7,2326.07,2299.73,2326.07,1,1,Salj
2021,7,6,2312.77,2285.04,2288.7,0,0,Kop
2021,7,5,2299.32,2271.94,2299.07,3,1,Salj
2021,7,2,2299.01,2279.87,2288.93,2,1,Behall
2021,7,1,2279.49,2254.42,2273.89,1,1,Behall
2021,6,30,2285.85,2249.02,2263.13,0,0,Kop
2021,6,29,2282.33,2256.31,2279.75,1,1,Salj
2021,6,28,2276.98,2254.02,2256.34,0,0,Kop
2021,6,24,2271.54,2245.22,2270.94,1,1,Salj
2021,6,23,2275.13,2242.24,2242.24,0,0,Kop
2021,6,22,2274.09,2253.64,2268,2,1,Salj
2021,6,21,2270.07,2227.25,2265.87,1,1,Behall
2021,6,18,2285.85,2245.2,2248.02,0,0,Kop
2021,6,17,2283.99,2269.55,2272.81,2,1,Behall
2021,6,16,2293.28,2273.79,2286.41,1,1,Salj
2021,6,15,2298.11,2278.15,2280.07,0,0,Kop
2021,6,14,2300.38,2274.65,2284.64,2,1,Salj
2021,6,11,2281.4,2263.33,2278.6,1,1,Behall
2021,6,10,2273.25,2260.52,2267.92,0,0,Kop
2021,6,9,2278.25,2264.84,2272.29,2,1,Behall
2021,6,8,2281.57,2261.6,2274.88,1,1,Salj
2021,6,7,2280.01,2265.7,2267.71,0,0,Kop
2021,6,4,2286.85,2262.44,2271.43,4,1,Behall
2021,6,3,2274.02,2248.68,2273.35,3,1,Salj
2021,6,2,2275.75,2259.44,2268.8,2,1,Behall
2021,6,1,2274.99,2250.76,2264.53,1,1,Behall
2021,5,31,2259.64,2241.87,2241.87,0,0,Kop
2021,5,28,2258.93,2240.89,2255.45,2,1,Salj
2021,5,27,2251.52,2221.39,2244.46,1,1,Behall
2021,5,26,2252.57,2220.65,2227.07,0,0,Kop
2021,5,25,2254.42,2241.39,2243.17,4,1,Behall
2021,5,24,2248.48,2235.77,2245.04,3,1,Salj
2021,5,21,2249.46,2226.89,2240.84,2,1,Behall
2021,5,20,2241.17,2204.47,2240.28,1,1,Behall
2021,5,19,2226.66,2189.48,2201.51,0,0,Kop
2021,5,18,2254.3,2239.69,2249.68,1,1,Salj
2021,5,17,2253.59,2220.08,2230.4,0,0,Kop
2021,5,14,2248.73,2212.36,2247.88,2,1,Salj
2021,5,12,2215.69,2191.44,2205.79,1,1,Behall
2021,5,11,2249.63,2188.51,2193.76,0,0,Kop
2021,5,10,2268.43,2248.06,2265.01,2,1,Salj
2021,5,7,2269.44,2247.44,2260.13,1,1,Behall
2021,5,6,2256.8,2227.35,2246.61,0,0,Kop
2021,5,5,2255.53,2213.72,2255.49,1,1,Salj
2021,5,4,2239.69,2191.48,2194.58,0,0,Kop
2021,5,3,2238.41,2211.73,2231.59,1,1,Salj
2021,4,30,2243.12,2217.02,2217.02,0,0,Kop
2021,4,29,2257.41,2230.83,2232.84,7,1,Behall
2021,4,28,2266.22,2223.17,2239.25,6,1,Behall
2021,4,27,2262.84,2237.56,2262.84,5,1,Salj
2021,4,26,2247.68,2234.58,2244.36,4,1,Behall
2021,4,23,2241.03,2220.72,2240.95,3,1,Behall
2021,4,22,2241.35,2222.42,2232.42,2,1,Behall
2021,4,21,2229.66,2210.67,2228.29,1,1,Behall
2021,4,20,2261.53,2197.46,2204.81,0,0,Kop
2021,4,19,2284.84,2256.35,2257.6,3,1,Behall
2021,4,16,2280.5,2238.15,2280.5,2,1,Salj
2021,4,15,2246.04,2232.24,2242.98,1,1,Behall
2021,4,14,2246.04,2223.52,2228.16,0,0,Kop
2021,4,13,2250.25,2231.05,2247.21,1,1,Salj
2021,4,12,2246.43,2231.62,2235.73,0,0,Kop
2021,4,9,2250.4,2236.81,2250.4,2,1,Salj
2021,4,8,2247.66,2236.14,2240.4,1,1,Behall
2021,4,7,2232.81,2221.31,2229.56,0,0,Kop
2021,4,6,2230.27,2216.57,2230.25,2,1,Salj
2021,4,1,2207.68,2190.04,2202.61,1,1,Behall
2021,3,31,2201.46,2188.73,2192.86,0,0,Kop
2021,3,30,2205.48,2185.33,2205.41,1,1,Salj
2021,3,29,2200.4,2180.29,2182.21,0,0,Kop
2021,3,26,2198.8,2177.24,2198.8,1,1,Salj
2021,3,25,2184.22,2152.5,2173.24,0,0,Kop
2021,3,24,2185.68,2153.36,2184.6,1,1,Salj
2021,3,23,2174.68,2150.51,2168.12,0,0,Kop
2021,3,22,2178.75,2150.99,2174.63,1,1,Salj
2021,3,19,2181.62,2158.72,2169.18,0,0,Kop
2021,3,18,2187.32,2170.01,2179.99,1,1,Salj
2021,3,17,2179.84,2166.81,2172.86,0,0,Kop
2021,3,16,2184.46,2172.32,2180.14,1,1,Salj
2021,3,15,2188.03,2158.7,2161.83,0,0,Kop
2021,3,12,2168.96,2152.38,2168.96,5,1,Salj
2021,3,11,2167.1,2140.15,2165.66,4,1,Behall
2021,3,10,2138.06,2113.5,2134.46,3,1,Behall
2021,3,9,2125.11,2098.63,2124.85,2,1,Behall
2021,3,8,2106.43,2056.67,2103.1,1,1,Behall
2021,3,5,2068.61,2042.24,2048.57,0,0,Kop
2021,3,4,2074.29,2054.7,2065.15,4,1,Behall
2021,3,3,2082.15,2057.16,2073.78,3,1,Salj
2021,3,2,2074.84,2049.96,2067.1,2,1,Behall
2021,3,1,2054.77,2029.74,2054.67,1,1,Behall
2021,2,26,2030.12,2000.62,2009.9,0,0,Kop
2021,2,25,2053.54,2035.96,2038.93,2,1,Salj
2021,2,24,2039.39,2011.88,2037.25,1,1,Behall
2021,2,23,2036.86,1993.28,2016.83,0,0,Kop
2021,2,22,2034.24,2016.79,2031.04,2,1,Behall
2021,2,19,2036.97,2017.55,2036.97,1,1,Salj
2021,2,18,2025.09,2007.48,2015.81,0,0,Kop
2021,2,17,2035.17,2011.97,2017.26,5,1,Behall
2021,2,16,2043.97,2033.76,2038.07,4,1,Behall
2021,2,15,2041.7,2029.08,2039.28,3,1,Salj
2021,2,12,2025.87,2004.44,2024.72,2,1,Behall
2021,2,11,2010.07,1996.95,2010.07,1,1,Behall
2021,2,10,2009.94,1985.74,1998.06,0,0,Kop
2021,2,9,2005.26,1992.17,1999.19,2,1,Behall
2021,2,8,2006.68,1996.29,2002.52,1,1,Salj
2021,2,5,2008.22,1985.95,1989.34,0,0,Kop
2021,2,4,2007.39,1995.9,2006.33,4,1,Salj
2021,2,3,2005.75,1988.67,1997.65,3,1,Behall
2021,2,2,1993.87,1979.6,1988.49,2,1,Behall
2021,2,1,1978.15,1954.32,1977.81,1,1,Behall
2021,1,29,1978.65,1948.2,1948.79,0,0,Kop
2021,1,28,1979.07,1932.48,1971.4,3,1,Behall
2021,1,27,1996.73,1958.65,1976.2,2,1,Behall
2021,1,26,1998.41,1974.8,1991.66,1,1,Salj
2021,1,25,2000.13,1970.82,1975.06,0,0,Kop
2021,1,22,1987.03,1974.48,1986.24,3,1,Behall
2021,1,21,1996.44,1980.29,1987.26,2,1,Salj
2021,1,20,1985.75,1967.06,1978.37,1,1,Behall
2021,1,19,1978.63,1956.33,1957.85,0,0,Kop
2021,1,18,1964.14,1951.68,1962.43,1,1,Salj
2021,1,15,1973.6,1945.84,1954.71,0,0,Kop
2021,1,14,1974.79,1963.8,1972.22,3,1,Salj
2021,1,13,1965.67,1951.88,1962.26,2,1,Behall
2021,1,12,1960.59,1945.02,1958.62,1,1,Behall
2021,1,11,1955.91,1939.07,1941.49,0,0,Kop
2021,1,8,1955.24,1943.07,1949.37,2,1,Salj
2021,1,7,1941.01,1925.03,1939.49,1,1,Behall
2021,1,5,1908.07,1885.33,1892.35,0,0,Kop
