Year,Month,Day,Weekday,High,Low,Close,High_ch_pc_sdbf,Low_ch_pc_sdbf,Close_ch_pc_sdbf,High_ch_tot_sdbf,Low_Ch_tot_sdbf,Close_Ch_tot_sdbf,Streak,Bestmove
2021,10,15,4,2318.79,2298.75,2314.98,0.892275712764%,0.728221859706%,0.786615867092%,20.69,16.74,18.21,5,Behall
2021,10,14,3,2298.1,2282.01,2296.77,0.744963230495%,2.030665948002%,0.862951013815%,17.12,46.34,19.82,4,Behall
2021,10,13,2,2280.98,2235.67,2276.95,1.252970214557%,1.388845402050%,1.139243285975%,28.58,31.05,25.94,3,Behall
2021,10,12,1,2252.4,2204.62,2251.01,0.784052566152%,-0.487158784734%,0.776984553600%,17.66,-10.74,17.49,2,Behall
2021,10,11,0,2234.74,2215.36,2233.52,-1.098561801373%,-0.873898598873%,-0.299974927469%,-24.55,-19.36,-6.7,1,Kop
2021,10,8,4,2259.29,2234.72,2240.22,-0.052671414471%,-0.136482422854%,-0.782066047085%,-1.19,-3.05,-17.52,-2,Behall
2021,10,7,3,2260.48,2237.77,2257.74,0.913522791619%,1.527860325235%,1.624633483041%,20.65,34.19,36.68,-1,Salj
2021,10,6,2,2239.83,2203.58,2221.06,-0.670140144565%,-0.911244429519%,-1.520895428309%,-15.01,-20.08,-33.78,1,Kop
2021,10,5,1,2254.84,2223.66,2254.84,0.020400560572%,-0.218558592591%,0.955278423303%,0.46,-4.86,21.54,-1,Salj
2021,10,4,0,2254.38,2228.52,2233.3,-0.098031387787%,0.463087609714%,-0.934939327453%,-2.21,10.32,-20.88,1,Kop
2021,10,1,4,2256.59,2218.2,2254.18,-0.957196477871%,-1.409250743846%,-0.221810148258%,-21.6,-31.26,-5,-2,Behall
2021,9,30,3,2278.19,2249.46,2259.18,0.126416146151%,-0.032452232980%,0.160677768040%,2.88,-0.73,3.63,-1,Salj
2021,9,29,2,2275.31,2250.19,2255.55,-1.078094853009%,-0.154209200112%,0.067832679391%,-24.53,-3.47,1.53,2,Behall
2021,9,28,1,2299.84,2253.66,2254.02,-1.470102267984%,-2.081946700035%,-2.217815281142%,-33.81,-46.92,-49.99,1,Kop
