Year,Month,Day,Weekday,High,Low,Close,High_ch_pc_sdbf,Low_ch_pc_sdbf,Close_ch_pc_sdbf,High_ch_tot_sdbf,Low_ch_tot_sdbf,Close_ch_tot_sdbf,Streak,Avgup14,Avgdown14,RS,RSI,Bestmove,Bestmove,R guess,Pred,UP,Streakhelp,Certainty,,vs index,Gain,,,,,,,,,,,,,,,,,,,,,,,,
2021.00,11,1,0,2 310.61,2 295.77,2 302.26,0.0032502240,0.0088902634,0.0049559998,7.51,20.41,11.41,-4,12.93,10.686,1.209994385,54.75101626,#REFERENS!,,,Kop,#REFERENS!,#REFERENS!,-15.0%,,0.5%,-0.50%,"{'Year': [2021],'Month': [11],'Day': [1],'Weekday': [0],'High': [2310.61],'Low': [2295.77],'Close': [2302.26],'High_ch_pc_sdbf': [0.00325022396683136],'Low_ch_pc_sdbf': [0.00889026339746571],'Close_ch_pc_sdbf': [0.00495599975676088],'High_ch_tot_sdbf': [7.51000000000022],'Low_ch_tot_sdbf': [20.4099999999999],'Close_ch_tot_sdbf': [11.4100000000003],'Streak': [-4]}",{'Year': [2021],",'Month': [11]",",'Day': [1]",",'Weekday': [0]",",'High': [2310.61]",",'Low': [2295.77]",",'Close': [2302.26]",",'High_ch_pc_sdbf': [0.00325022396683136]",",'Low_ch_pc_sdbf': [0.00889026339746571]",",'Close_ch_pc_sdbf': [0.00495599975676088]",",'High_ch_tot_sdbf': [7.51000000000022]",",'Low_ch_tot_sdbf': [20.4099999999999]",",'Close_ch_tot_sdbf': [11.4100000000003]",",'Streak': [-4]",,,,,,,,7.51,FALSKT
2021.00,10,29,4,2 303.10,2 275.36,2 290.85,-0.0056098302,-0.0115366360,-0.0097736648,-12.92,-26.25,-22.39,-3,13.53222222,12.99666667,1.041207147,51.00938181,Unknown,,,Kop,999,-1,85.0%,,-1.0%,-0.98%,"{'Year': [2021],'Month': [10],'Day': [29],'Weekday': [4],'High': [2303.1],'Low': [2275.36],'Close': [2290.85],'High_ch_pc_sdbf': [-0.00560983022882205],'Low_ch_pc_sdbf': [-0.0115366359609029],'Close_ch_pc_sdbf': [-0.00977366479690939],'High_ch_tot_sdbf': [-12.9200000000001],'Low_ch_tot_sdbf': [-26.25],'Close_ch_tot_sdbf': [-22.3899999999999],'Streak': [-3]}",{'Year': [2021],",'Month': [10]",",'Day': [29]",",'Weekday': [4]",",'High': [2303.1]",",'Low': [2275.36]",",'Close': [2290.85]",",'High_ch_pc_sdbf': [-0.00560983022882205]",",'Low_ch_pc_sdbf': [-0.0115366359609029]",",'Close_ch_pc_sdbf': [-0.00977366479690939]",",'High_ch_tot_sdbf': [-12.9200000000001]",",'Low_ch_tot_sdbf': [-26.25]",",'Close_ch_tot_sdbf': [-22.3899999999999]",",'Streak': [-3]",,,,,,,,FALSKT,-12.92
2021.00,10,28,3,2 316.02,2 301.61,2 313.24,-0.0102589788,-0.0083810898,-0.0042926804,-23.76,-19.29,-9.93,-2,13.53222222,11.04166667,1.225559748,55.06748355,Behall,,Kop,Kop,0,-1,83.3%,,-0.4%,-0.43%,"{'Year': [2021],'Month': [10],'Day': [28],'Weekday': [3],'High': [2316.02],'Low': [2301.61],'Close': [2313.24],'High_ch_pc_sdbf': [-0.0102589787652957],'Low_ch_pc_sdbf': [-0.00838108975890788],'Close_ch_pc_sdbf': [-0.00429268039632736],'High_ch_tot_sdbf': [-23.7600000000002],'Low_ch_tot_sdbf': [-19.29],'Close_ch_tot_sdbf': [-9.93000000000029],'Streak': [-2]}",{'Year': [2021],",'Month': [10]",",'Day': [28]",",'Weekday': [3]",",'High': [2316.02]",",'Low': [2301.61]",",'Close': [2313.24]",",'High_ch_pc_sdbf': [-0.0102589787652957]",",'Low_ch_pc_sdbf': [-0.00838108975890788]",",'Close_ch_pc_sdbf': [-0.00429268039632736]",",'High_ch_tot_sdbf': [-23.7600000000002]",",'Low_ch_tot_sdbf': [-19.29]",",'Close_ch_tot_sdbf': [-9.93000000000029]",",'Streak': [-2]",,,,,,,,FALSKT,-23.76
2021.00,10,27,2,2 339.78,2 320.90,2 323.17,-0.0053252870,-0.0015726658,-0.0090522863,-12.46,-3.65,-21.03,-1,14.244,8.498,1.676159096,62.63301381,Behall,Salj,Salj,Kop,0,-1,69.9%,W,-0.9%,-0.91%,"{'Year': [2021],'Month': [10],'Day': [27],'Weekday': [2],'High': [2339.78],'Low': [2320.9],'Close': [2323.17],'High_ch_pc_sdbf': [-0.00532528699279401],'Low_ch_pc_sdbf': [-0.00157266577620754],'Close_ch_pc_sdbf': [-0.00905228631568062],'High_ch_tot_sdbf': [-12.4599999999996],'Low_ch_tot_sdbf': [-3.65000000000009],'Close_ch_tot_sdbf': [-21.0299999999997],'Streak': [-1]}",{'Year': [2021],",'Month': [10]",",'Day': [27]",",'Weekday': [2]",",'High': [2339.78]",",'Low': [2320.9]",",'Close': [2323.17]",",'High_ch_pc_sdbf': [-0.00532528699279401]",",'Low_ch_pc_sdbf': [-0.00157266577620754]",",'Close_ch_pc_sdbf': [-0.00905228631568062]",",'High_ch_tot_sdbf': [-12.4599999999996]",",'Low_ch_tot_sdbf': [-3.65000000000009]",",'Close_ch_tot_sdbf': [-21.0299999999997]",",'Streak': [-1]",,,,,,,,FALSKT,-12.46
2021.00,10,26,1,2 352.24,2 324.55,2 344.20,-0.0005909261,-0.0009335140,0.0060020476,-1.39,-2.17,14.07,1,14.244,9.008,1.581261101,61.25924652,Salj,Salj,,Salj,0,-1,67.9%,C,0.6%,0.60%,"{'Year': [2021],'Month': [10],'Day': [26],'Weekday': [1],'High': [2352.24],'Low': [2324.55],'Close': [2344.2],'High_ch_pc_sdbf': [-0.00059092609597674],'Low_ch_pc_sdbf': [-0.000933514013464807],'Close_ch_pc_sdbf': [0.00600204760685936],'High_ch_tot_sdbf': [-1.39000000000033],'Low_ch_tot_sdbf': [-2.16999999999962],'Close_ch_tot_sdbf': [14.0699999999997],'Streak': [1]}",{'Year': [2021],",'Month': [10]",",'Day': [26]",",'Weekday': [1]",",'High': [2352.24]",",'Low': [2324.55]",",'Close': [2344.2]",",'High_ch_pc_sdbf': [-0.00059092609597674]",",'Low_ch_pc_sdbf': [-0.000933514013464807]",",'Close_ch_pc_sdbf': [0.00600204760685936]",",'High_ch_tot_sdbf': [-1.39000000000033]",",'Low_ch_tot_sdbf': [-2.16999999999962]",",'Close_ch_tot_sdbf': [14.0699999999997]",",'Streak': [1]",,,,,,,,FALSKT,-1.39
2021.00,10,25,0,2 353.63,2 326.72,2 330.13,0.0006755522,0.0045385779,-0.0080295949,1.59,10.56,-18.71,-1,12.99090909,10.9125,1.190461314,54.34751604,Kop,Kop,,Kop,1,1,55.3%,C,-0.8%,0.80%,"{'Year': [2021],'Month': [10],'Day': [25],'Weekday': [0],'High': [2353.63],'Low': [2326.72],'Close': [2330.13],'High_ch_pc_sdbf': [0.000675552232084119],'Low_ch_pc_sdbf': [0.00453857791225414],'Close_ch_pc_sdbf': [-0.00802959491530517],'High_ch_tot_sdbf': [1.59000000000015],'Low_ch_tot_sdbf': [10.5599999999999],'Close_ch_tot_sdbf': [-18.71],'Streak': [-1]}",{'Year': [2021],",'Month': [10]",",'Day': [25]",",'Weekday': [0]",",'High': [2353.63]",",'Low': [2326.72]",",'Close': [2330.13]",",'High_ch_pc_sdbf': [0.000675552232084119]",",'Low_ch_pc_sdbf': [0.00453857791225414]",",'Close_ch_pc_sdbf': [-0.00802959491530517]",",'High_ch_tot_sdbf': [1.59000000000015]",",'Low_ch_tot_sdbf': [10.5599999999999]",",'Close_ch_tot_sdbf': [-18.71]",",'Streak': [-1]",,,,,,,,1.59,FALSKT
2021.00,10,22,4,2 352.04,2 316.16,2 348.84,0.0101911532,0.0037216773,0.0100858296,23.97,8.62,23.69,1,14.131,9.172,1.540667248,60.64026091,Salj,Salj,,Salj,0,-1,64.0%,C,1.0%,1.01%,"{'Year': [2021],'Month': [10],'Day': [22],'Weekday': [4],'High': [2352.04],'Low': [2316.16],'Close': [2348.84],'High_ch_pc_sdbf': [0.01019115321168],'Low_ch_pc_sdbf': [0.00372167725891125],'Close_ch_pc_sdbf': [0.0100858296009946],'High_ch_tot_sdbf': [23.9699999999998],'Low_ch_tot_sdbf': [8.61999999999989],'Close_ch_tot_sdbf': [23.6900000000001],'Streak': [1]}",{'Year': [2021],",'Month': [10]",",'Day': [22]",",'Weekday': [4]",",'High': [2352.04]",",'Low': [2316.16]",",'Close': [2348.84]",",'High_ch_pc_sdbf': [0.01019115321168]",",'Low_ch_pc_sdbf': [0.00372167725891125]",",'Close_ch_pc_sdbf': [0.0100858296009946]",",'High_ch_tot_sdbf': [23.9699999999998]",",'Low_ch_tot_sdbf': [8.61999999999989]",",'Close_ch_tot_sdbf': [23.6900000000001]",",'Streak': [1]",,,,,,,,23.97,FALSKT
2021.00,10,21,3,2 328.07,2 307.54,2 325.15,0.0005712887,0.0013867582,-0.0004730878,1.33,3.2,-1.1,-2,13.03777778,11.24333333,1.159600751,53.69514483,Kop,Kop,,Salj,1,1,50.4%,W,0.0%,-0.05%,"{'Year': [2021],'Month': [10],'Day': [21],'Weekday': [3],'High': [2328.07],'Low': [2307.54],'Close': [2325.15],'High_ch_pc_sdbf': [0.000571288664000817],'Low_ch_pc_sdbf': [0.00138675819270731],'Close_ch_pc_sdbf': [-0.000473087757779029],'High_ch_tot_sdbf': [1.33000000000038],'Low_ch_tot_sdbf': [3.19999999999982],'Close_ch_tot_sdbf': [-1.09999999999991],'Streak': [-2]}",{'Year': [2021],",'Month': [10]",",'Day': [21]",",'Weekday': [3]",",'High': [2328.07]",",'Low': [2307.54]",",'Close': [2325.15]",",'High_ch_pc_sdbf': [0.000571288664000817]",",'Low_ch_pc_sdbf': [0.00138675819270731]",",'Close_ch_pc_sdbf': [-0.000473087757779029]",",'High_ch_tot_sdbf': [1.33000000000038]",",'Low_ch_tot_sdbf': [3.19999999999982]",",'Close_ch_tot_sdbf': [-1.09999999999991]",",'Streak': [-2]",,,,,,,,1.33,FALSKT
2021.00,10,20,2,2326.74,2304.34,2326.25,-0.0012463791,-0.0042571843,-0.0001762493,-2.9,-9.81,-0.41,-1,13.21,11.24333333,1.17491847,54.02126499,Behall,Salj,,Salj,0,-1,50.0%,C,0.0%,0.02%,"{'Year': [2021],'Month': [10],'Day': [20],'Weekday': [2],'High': [2326.74],'Low': [2304.34],'Close': [2326.25],'High_ch_pc_sdbf': [-0.00124637905395536],'Low_ch_pc_sdbf': [-0.0042571842696824],'Close_ch_pc_sdbf': [-0.000176249328318046],'High_ch_tot_sdbf': [-2.90000000000009],'Low_ch_tot_sdbf': [-9.80999999999995],'Close_ch_tot_sdbf': [-0.409999999999854],'Streak': [-1]}",{'Year': [2021],",'Month': [10]",",'Day': [20]",",'Weekday': [2]",",'High': [2326.74]",",'Low': [2304.34]",",'Close': [2326.25]",",'High_ch_pc_sdbf': [-0.00124637905395536]",",'Low_ch_pc_sdbf': [-0.0042571842696824]",",'Close_ch_pc_sdbf': [-0.000176249328318046]",",'High_ch_tot_sdbf': [-2.90000000000009]",",'Low_ch_tot_sdbf': [-9.80999999999995]",",'Close_ch_tot_sdbf': [-0.409999999999854]",",'Streak': [-1]",,,,,,,,FALSKT,-2.9
2021.00,10,19,1,2329.64,2314.15,2326.66,0.0013736028,0.0047533652,0.0064298179,3.2,11,14.96,1,13.21,14.84833333,0.889662139,47.08048708,Salj,Salj,,Salj,0,-1,57.5%,C,0.6%,0.64%,"{'Year': [2021],'Month': [10],'Day': [19],'Weekday': [1],'High': [2329.64],'Low': [2314.15],'Close': [2326.66],'High_ch_pc_sdbf': [0.00137360278841358],'Low_ch_pc_sdbf': [0.00475336516647581],'Close_ch_pc_sdbf': [0.00642981785048096],'High_ch_tot_sdbf': [3.19999999999982],'Low_ch_tot_sdbf': [11],'Close_ch_tot_sdbf': [14.96],'Streak': [1]}",{'Year': [2021],",'Month': [10]",",'Day': [19]",",'Weekday': [1]",",'High': [2329.64]",",'Low': [2314.15]",",'Close': [2326.66]",",'High_ch_pc_sdbf': [0.00137360278841358]",",'Low_ch_pc_sdbf': [0.00475336516647581]",",'Close_ch_pc_sdbf': [0.00642981785048096]",",'High_ch_tot_sdbf': [3.19999999999982]",",'Low_ch_tot_sdbf': [11]",",'Close_ch_tot_sdbf': [14.96]",",'Streak': [1]",,,,,,,,3.2,FALSKT
